                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3256,                 3.2637,                 1.4571,                 1.3185,                0.49558,                0.39286,                0.38564,                0.18002,                      0,                      0,                      0,                      0,                 1.8539,                 3.8671,                 1.8176,                 1.5571,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.3128,                 3.1641,                  1.422,                 1.2835,                0.35278,                    0.5,                0.32799,                0.11875,                      0,                      0,                      0,                      0,                 1.9804,                 4.3036,                 2.0242,                 1.6517,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.2945,                 3.1862,                 1.4021,                 1.2993,                0.32347,                    0.5,                0.31308,                0.12008,                      0,                      0,                      0,                      0,                 1.8391,                 4.3754,                 2.0102,                 1.5611,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.3122,                 3.1772,                 1.4474,                 1.2813,                 0.3659,                0.44643,                0.37474,                0.15751,                      0,                      0,                      0,                      0,                 1.8125,                 4.4912,                  2.048,                 1.5141,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.3463,                 3.2484,                 1.4227,                 1.3075,                0.37698,                0.44643,                 0.3652,                0.15335,                0.00083,                0.01786,                0.00044,                  4e-05,                 1.8735,                 4.4806,                 2.0177,                 1.5191,              0.0018495,              0.0018495,              0.0018495
                     78,                 1.3477,                 3.3039,                 1.4693,                 1.2753,                0.37645,                0.51786,                0.46451,                0.18261,                0.00139,                0.03571,                0.00085,                0.00012,                 1.8894,                 4.6756,                 1.7891,                 1.5379,              0.0018475,              0.0018475,              0.0018475
                     79,                 1.3361,                 3.1511,                 1.3457,                 1.2863,                0.58832,                0.46429,                0.49432,                0.20672,                      0,                      0,                      0,                      0,                  1.815,                 4.8964,                 1.7073,                 1.5078,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.3118,                 3.1571,                 1.3883,                 1.2887,                0.35847,                0.41915,                0.35069,                0.15885,                0.00036,                0.01786,                0.00022,                  2e-05,                 1.8397,                 5.0143,                 1.8679,                 1.5426,              0.0018436,              0.0018436,              0.0018436
                     81,                 1.3816,                 3.2402,                 1.4437,                 1.2921,                0.58303,                0.30357,                0.33745,                0.12805,                      0,                      0,                      0,                      0,                 1.8753,                 5.0653,                 1.8687,                 1.5598,              0.0018416,              0.0018416,              0.0018416
                     82,                  1.224,                  3.091,                 1.3072,                 1.2349,                0.45035,                0.33929,                0.35068,                0.16672,                   0.01,                0.01786,                0.00082,                0.00019,                 1.9824,                 4.5577,                 1.9837,                 1.6034,              0.0018396,              0.0018396,              0.0018396
                     83,                 1.3427,                 3.1529,                 1.4367,                 1.3371,                0.51386,                0.39644,                0.40685,                0.15652,                 0.0201,                0.03571,                0.00138,                0.00019,                 1.9928,                 4.6652,                  1.939,                 1.6306,              0.0018376,              0.0018376,              0.0018376
                     84,                 1.2667,                 3.0941,                 1.3568,                 1.2671,                0.50521,                0.57143,                0.44846,                0.14041,                0.01732,                0.01786,                 0.0012,                0.00018,                 2.0395,                 4.6776,                 1.8226,                  1.671,              0.0018357,              0.0018357,              0.0018357
                     85,                    1.3,                 3.2142,                 1.3176,                 1.2786,                0.48538,                0.53571,                0.42977,                0.13371,                0.01017,                0.01786,                0.00088,                  9e-05,                 1.9662,                 4.5795,                 1.7866,                 1.6335,              0.0018337,              0.0018337,              0.0018337
                     86,                 1.2961,                 3.1224,                 1.3891,                 1.2445,                 0.4082,                0.44346,                 0.3591,                0.11577,                      0,                      0,                      0,                      0,                 2.0034,                 4.2993,                 1.9041,                 1.5921,              0.0018317,              0.0018317,              0.0018317
                     87,                 1.2882,                 3.1743,                 1.4359,                 1.2679,                0.46144,                0.44643,                0.38545,                0.11851,                      0,                      0,                      0,                      0,                 1.9895,                 4.2577,                 1.8792,                 1.5716,              0.0018297,              0.0018297,              0.0018297
                     88,                  1.319,                 3.2313,                 1.3859,                 1.2613,                0.62256,                0.41071,                 0.4724,                0.14182,                      0,                      0,                      0,                      0,                 2.2139,                 4.3192,                 1.9493,                 1.7094,              0.0018277,              0.0018277,              0.0018277
                     89,                 1.2976,                 3.1426,                 1.2897,                 1.2772,                0.55768,                    0.5,                0.43963,                0.11659,                      0,                      0,                      0,                      0,                 2.2926,                  4.265,                 1.8745,                 1.7968,              0.0018258,              0.0018258,              0.0018258
                     90,                 1.2992,                 3.0134,                 1.3675,                 1.2792,                0.59547,                0.35714,                0.39462,                0.11556,                      0,                      0,                      0,                      0,                 2.3742,                 4.2594,                 1.9418,                 1.8786,              0.0018238,              0.0018238,              0.0018238
                     91,                 1.2434,                 2.8865,                 1.3049,                 1.2547,                0.78948,                0.33497,                0.42945,                0.11993,                      0,                      0,                      0,                      0,                 2.3828,                  4.337,                 2.0489,                 1.9287,              0.0018218,              0.0018218,              0.0018218
